,cena_brutto_pln,powierzchnia_uzytkowa,liczba_izb,kondygnacja,dzielnica
738,1104058.0,52.82,3.0,7.0,8.0
743,1017500.0,63.88,3.0,2.0,8.0
748,641260.0,34.66,2.0,4.0,8.0
753,2170751.67,102.77,5.0,7.0,5.0
756,768070.42,52.69,3.0,2.0,4.0
761,662351.85,38.35,2.0,3.0,4.0
766,858699.2,55.9,3.0,3.0,4.0
771,785364.0,46.19,2.0,5.0,8.0
776,1099523.9,76.26,4.0,3.0,4.0
781,1200000.0,72.6,4.0,4.0,8.0
786,670000.0,36.48,2.0,3.0,8.0
791,736555.05,44.15,2.0,10.0,12.0
796,613886.0,39.38,2.0,6.0,4.0
802,498792.74,52.17,2.0,2.0,6.0
803,909294.0,65.5,4.0,4.0,4.0
808,715500.0,64.14,4.0,1.0,4.0
809,873600.0,53.63,3.0,2.0,13.0
812,664417.6,38.45,2.0,2.0,4.0
817,590460.34,36.61,2.0,4.0,4.0
822,996820.04,73.01,4.0,3.0,4.0
827,565867.68,34.37,2.0,2.0,4.0
832,807146.56,57.12,3.0,4.0,4.0
837,607142.4,38.45,2.0,4.0,4.0
842,952130.32,66.54,4.0,4.0,4.0
847,682816.0,41.66,3.0,3.0,4.0
852,813761.78,52.49,3.0,5.0,4.0
857,1018766.0,76.41,4.0,2.0,4.0
862,960000.0,64.03,3.0,4.0,4.0
864,1015868.0,73.04,4.0,2.0,4.0
869,590000.0,33.43,2.0,2.0,4.0
873,618119.68,36.72,2.0,2.0,4.0
878,628510.59,46.61,2.0,5.0,12.0
883,591974.4,38.51,2.0,5.0,4.0
888,809929.8,52.73,3.0,5.0,4.0
893,508000.0,30.39,2.0,3.0,11.0
894,1059336.0,72.98,4.0,5.0,4.0
899,1280000.0,110.51,5.0,2.0,10.0
904,675401.6,38.44,2.0,4.0,4.0
909,799044.47,52.67,3.0,4.0,4.0
914,656383.88,66.54,3.0,3.0,6.0
915,675875.0,51.03,3.0,3.0,13.0
920,514100.0,35.7,2.0,1.0,13.0
925,864314.85,52.76,2.0,4.0,6.0
926,833620.03,62.13,4.0,6.0,13.0
928,1159747.58,75.67,2.0,4.0,6.0
961,837435.71,52.44,3.0,6.0,4.0
966,786315.32,46.07,3.0,9.0,12.0
971,434840.0,35.7,2.0,2.0,13.0
976,575261.32,40.2,2.0,1.0,12.0
981,579000.0,33.28,2.0,3.0,8.0
983,662554.68,46.62,2.0,6.0,12.0
988,518783.23,38.09,2.0,2.0,12.0
993,1140000.0,100.81,5.0,1.0,12.0
994,582368.0,41.24,2.0,5.0,13.0
999,630000.0,63.3,3.0,2.0,12.0
1000,517940.0,35.7,2.0,5.0,13.0
1005,175725.51,37.07,3.0,4.0,16.0
1006,1515000.0,47.21,2.0,4.0,1.0
1008,675233.09,65.12,3.0,1.0,6.0
1009,1012076.0,72.43,4.0,3.0,4.0
1014,618995.2,38.28,2.0,4.0,4.0
1020,1536710.0,52.99,2.0,5.0,1.0
1022,517018.8,30.9,2.0,4.0,4.0
1028,602705.63,62.45,4.0,2.0,6.0
1029,1006490.0,31.4,1.0,2.0,1.0
1030,25747.69,45.7,4.0,7.0,2.0
1033,1097100.0,42.1,2.0,2.0,1.0
1034,1093580.0,67.8,4.0,2.0,13.0
1035,1060000.0,39.8,2.0,2.0,1.0
1036,2868600.0,58.88,1.0,4.0,1.0
1037,1097463.0,73.41,4.0,3.0,4.0
1039,1004160.0,72.22,4.0,3.0,4.0
1041,3970000.0,150.3,5.0,3.0,1.0
1042,870917.54,55.75,3.0,5.0,13.0
1045,750000.0,69.06,3.0,1.0,8.0
1048,987668.0,72.06,4.0,2.0,4.0
1050,855000.0,55.47,3.0,2.0,8.0
1052,775895.0,53.51,3.0,3.0,4.0
1054,505496.0,29.44,1.0,1.0,4.0
1056,843044.0,53.56,3.0,1.0,4.0
1058,895000.0,47.11,3.0,3.0,3.0
1063,1455000.0,79.15,4.0,2.0,3.0
1068,781405.0,53.89,3.0,3.0,4.0
1070,605000.0,35.61,2.0,2.0,4.0
1071,800000.0,46.11,3.0,3.0,3.0
1076,1018000.0,69.02,4.0,2.0,3.0
1081,900000.0,67.57,3.0,1.0,4.0
1082,402393.0,34.73,2.0,2.0,15.0
1084,1370000.0,78.51,4.0,4.0,3.0
1089,878049.55,80.7,4.0,9.0,15.0
1091,772000.0,47.0,3.0,2.0,3.0
1096,609670.0,57.01,3.0,2.0,15.0
1098,858000.0,53.23,3.0,2.0,3.0
1103,627788.0,57.41,3.0,4.0,15.0
1105,900500.0,54.78,3.0,1.0,3.0
1110,443417.5,29.89,2.0,8.0,15.0
1112,45160.7,46.23,3.0,2.0,18.0
1113,22674.42,37.8,3.0,2.0,2.0
1116,25747.69,45.7,4.0,4.0,2.0
1119,951872.0,63.16,3.0,2.0,4.0
1125,645548.85,40.21,2.0,4.0,13.0
1128,768359.2,52.84,3.0,1.0,13.0
1131,542897.0,39.68,2.0,2.0,12.0
1137,654000.0,39.4,2.0,2.0,8.0
1139,734000.0,39.13,2.0,2.0,8.0
1141,725612.96,68.03,3.0,1.0,17.0
1145,369601.0,26.59,1.0,1.0,12.0
1151,478509.0,32.49,2.0,8.0,15.0
1153,676835.0,53.11,3.0,8.0,15.0
1155,654397.0,53.22,3.0,9.0,15.0
1157,630087.0,57.26,3.0,9.0,15.0
1159,535149.95,45.85,3.0,8.0,15.0
1161,1327132.8,67.54,3.0,1.0,7.0
1162,1120889.29,75.99,4.0,1.0,1.0
1166,1286000.0,88.22,4.0,9.0,12.0
1170,566188.0,41.56,2.0,7.0,12.0
1176,492975.94,33.82,2.0,1.0,15.0
1178,469342.0,34.35,2.0,7.0,15.0
1180,490284.0,35.09,2.0,4.0,15.0
1182,543905.0,36.33,2.0,1.0,15.0
1184,1412000.0,136.59,5.0,1.0,10.0
1187,809162.22,52.72,3.0,5.0,13.0
1190,667541.2,42.13,2.0,5.0,13.0
1193,835000.0,55.1,3.0,4.0,4.0
1195,972505.0,65.7,3.0,11.0,12.0
1201,493298.0,37.24,2.0,1.0,15.0
1203,487794.0,34.76,2.0,2.0,15.0
1229,818795.62,59.98,3.0,5.0,12.0
1233,435580.0,34.93,2.0,4.0,15.0
1235,511517.94,45.81,3.0,4.0,15.0
1237,676145.89,38.25,2.0,8.0,12.0
1241,568151.03,41.63,2.0,8.0,12.0
1247,813483.61,59.14,3.0,6.0,12.0
1251,840128.76,60.2,3.0,3.0,12.0
1255,1410000.0,79.2,3.0,1.0,2.0
1256,853518.9,58.91,3.0,8.0,12.0
1260,822584.92,54.47,3.0,10.0,12.0
1264,718401.87,31.25,1.0,2.0,2.0
1266,549875.0,39.59,2.0,2.0,12.0
1272,865437.02,59.04,3.0,7.0,12.0
1276,609413.31,38.14,2.0,7.0,12.0
1280,470050.0,39.5,2.0,3.0,12.0
1286,697212.64,49.32,3.0,3.0,12.0
1290,891534.12,60.34,3.0,7.0,12.0
1294,529334.99,38.05,2.0,5.0,12.0
1298,657904.66,38.3,2.0,6.0,12.0
1302,7102956.67,49.05,3.0,7.0,12.0
1306,489576.0,39.69,2.0,2.0,12.0
1312,997914.25,42.84,2.0,3.0,2.0
1314,2018605.33,110.09,4.0,4.0,2.0
1316,501450.0,35.65,2.0,3.0,13.0
1321,864050.0,52.23,3.0,3.0,13.0
1324,916155.0,57.61,4.0,1.0,13.0
1327,725000.0,48.38,2.0,3.0,8.0
1329,867466.0,54.61,3.0,2.0,4.0
1335,4737500.0,122.37,3.0,4.0,2.0
1337,647123.82,38.65,2.0,3.0,1.0
1341,650865.11,38.7,2.0,4.0,1.0
1345,595000.0,41.06,2.0,1.0,3.0
1350,705000.08,47.6,2.0,1.0,8.0
1352,746113.63,31.08,2.0,3.0,2.0
1354,780000.0,69.06,3.0,1.0,8.0
1357,711485.02,29.91,2.0,2.0,2.0
1359,698000.0,39.48,2.0,1.0,3.0
1364,840768.0,61.92,3.0,3.0,4.0
1368,872000.0,61.8,3.0,4.0,4.0
1372,472296.0,35.78,2.0,4.0,13.0
1377,350000.0,74.2,4.0,2.0,8.0
1379,550000.0,42.24,2.0,2.0,13.0
1380,645978.0,38.54,3.0,8.0,13.0
1385,869969.0,61.33,3.0,7.0,13.0
1390,1191500.0,61.63,3.0,5.0,8.0
1395,2225000.0,81.84,3.0,7.0,8.0
1405,704657.0,41.62,2.0,8.0,12.0
1411,591970.0,31.17,1.0,3.0,8.0
1416,230000.0,174.02,11.0,2.0,12.0
1418,792940.46,52.39,3.0,4.0,13.0
1421,467068.0,67.84,3.0,3.0,2.0
1424,1495000.0,72.5,4.0,7.0,8.0
1429,665440.64,41.61,2.0,10.0,12.0
1435,758000.0,43.77,2.0,1.0,5.0
1437,816870.5,64.84,3.0,6.0,12.0
1444,684000.0,44.01,2.0,1.0,5.0
1446,995000.0,34.76,1.0,7.0,5.0
1447,1535000.0,72.4,4.0,7.0,8.0
1456,976955.82,68.3,4.0,4.0,13.0
1459,1220000.0,68.71,3.0,2.0,5.0
1461,1034000.0,67.68,4.0,1.0,8.0
1466,661581.0,36.83,2.0,2.0,8.0
1471,615059.56,53.3,3.0,3.0,12.0
1477,839172.05,55.79,3.0,4.0,13.0
1480,1301395.0,73.9,4.0,6.0,8.0
1485,611490.0,48.18,3.0,3.0,12.0
1491,800000.0,49.71,3.0,4.0,3.0
1496,891275.0,51.66,3.0,4.0,8.0
1501,745000.0,38.67,2.0,3.0,3.0
1506,800000.0,55.94,3.0,3.0,8.0
1508,917000.0,47.78,2.0,5.0,3.0
1513,547055.0,47.57,3.0,5.0,12.0
1519,1505000.0,80.65,4.0,4.0,3.0
1524,625800.0,34.69,2.0,3.0,8.0
1529,902140.0,51.64,3.0,6.0,8.0
1534,329000.0,26.59,1.0,5.0,12.0
1540,854000.0,51.6,3.0,2.0,3.0
1545,611255.0,47.77,3.0,4.0,12.0
1551,616930.0,64.27,3.0,5.0,12.0
1557,900000.0,54.87,3.0,3.0,3.0
1562,620808.0,38.69,2.0,2.0,3.0
1567,599548.26,47.82,3.0,3.0,12.0
1573,1440000.0,79.72,3.0,2.0,3.0
1578,439000.0,27.51,1.0,4.0,3.0
1583,615832.75,53.39,3.0,5.0,12.0
1589,999000.0,74.51,4.0,4.0,4.0
1590,697500.0,58.41,4.0,3.0,4.0
1591,522366.69,39.34,2.0,4.0,12.0
1597,705000.0,45.05,2.0,3.0,4.0
1601,520071.0,36.83,2.0,4.0,12.0
1607,724000.0,55.21,3.0,2.0,12.0
1613,1885000.0,84.86,3.0,7.0,5.0
1615,539000.0,36.88,2.0,2.0,12.0
1621,610554.0,48.15,3.0,4.0,12.0
1627,535000.0,33.79,2.0,2.0,4.0
1631,629000.0,53.53,3.0,2.0,12.0
1637,1110000.0,60.19,4.0,4.0,8.0
1642,520071.0,36.79,2.0,3.0,12.0
1648,581071.0,45.99,3.0,2.0,12.0
1654,914085.0,51.58,3.0,2.0,8.0
1659,575000.0,33.44,2.0,4.0,4.0
1663,475000.0,26.06,1.0,1.0,8.0
1668,726300.0,44.87,2.0,2.0,4.0
1672,934830.0,46.77,2.0,6.0,8.0
1677,895055.0,55.68,3.0,1.0,8.0
1682,3712800.0,169.97,7.0,8.0,1.0
1683,660634.0,34.62,2.0,6.0,8.0
1688,319000.0,25.74,1.0,4.0,12.0
1694,1260000.0,75.59,4.0,1.0,3.0
1699,875000.0,51.6,3.0,5.0,8.0
1704,842500.0,47.73,2.0,4.0,3.0
1709,466000.0,27.35,1.0,2.0,3.0
1714,1145190.0,63.95,3.0,6.0,8.0
1719,1262000.0,78.9,4.0,3.0,3.0
1724,822500.0,51.31,2.0,4.0,8.0
1727,1297000.0,79.74,2.0,1.0,3.0
1732,369000.0,30.13,1.0,4.0,12.0
1738,529000.0,39.27,2.0,5.0,12.0
1744,662791.0,36.61,2.0,1.0,8.0
1749,700000.0,39.26,2.0,1.0,8.0
1751,581490.0,48.2,3.0,5.0,12.0
1757,1024000.0,63.93,3.0,4.0,8.0
1762,559000.0,39.2,2.0,2.0,12.0
1768,595000.0,49.42,2.0,3.0,12.0
1774,577415.0,49.43,2.0,5.0,12.0
1780,1051949.9,45.48,2.0,4.0,2.0
1782,748475.0,51.31,2.0,4.0,8.0
1785,736023.74,50.53,4.0,1.0,13.0
1788,818185.6,53.98,3.0,5.0,13.0
1791,630000.0,40.41,2.0,5.0,12.0
1797,1142200.0,72.75,4.0,1.0,8.0
1802,182026.01,41.45,3.0,3.0,17.0
1803,1100531.0,60.04,4.0,2.0,8.0
1808,646798.63,53.34,3.0,4.0,12.0
1814,436099.37,37.99,1.0,7.0,14.0
1818,2323662.0,67.84,4.0,2.0,8.0
1828,398511.0,25.73,1.0,1.0,12.0
1834,837200.0,45.97,2.0,2.0,8.0
1839,1056598.0,67.09,3.0,1.0,8.0
1844,607092.5,53.17,3.0,7.0,15.0
1846,553048.0,35.61,2.0,1.0,4.0
1847,585612.0,41.66,2.0,5.0,15.0
1849,615000.0,35.69,2.0,1.0,4.0
1850,509290.0,34.84,2.0,8.0,15.0
1852,658635.0,57.16,3.0,1.0,15.0
1854,1292821.0,72.95,4.0,2.0,8.0
1859,605000.0,35.43,2.0,4.0,4.0
1860,1149740.0,72.46,4.0,2.0,8.0
1865,744336.0,50.67,3.0,2.0,4.0
1866,400713.0,26.57,1.0,2.0,12.0
1872,1097700.0,63.86,3.0,5.0,8.0
1877,851515.0,51.47,3.0,1.0,8.0
1882,583026.0,35.46,2.0,3.0,4.0
1883,677469.0,41.73,2.0,10.0,12.0
1889,563000.0,35.66,2.0,1.0,4.0
1890,666254.0,41.54,2.0,8.0,12.0
1896,400713.0,26.56,1.0,3.0,12.0
1902,851150.0,46.28,2.0,2.0,8.0
1907,512800.0,35.69,2.0,3.0,4.0
1908,400713.0,26.56,1.0,4.0,12.0
1914,1239983.94,53.02,2.0,1.0,2.0
1916,1016800.0,35.63,2.0,4.0,4.0
1918,421778.1,30.16,1.0,3.0,12.0
1924,609742.0,41.66,2.0,4.0,12.0
1931,631500.0,39.5,2.0,2.0,12.0
1938,1089001.0,74.36,4.0,1.0,4.0
1939,520071.0,36.71,2.0,5.0,12.0
1945,628242.6,40.05,2.0,4.0,13.0
1948,580098.0,44.47,2.0,3.0,12.0
1954,900863.94,58.48,3.0,4.0,13.0
1957,435971.0,25.69,1.0,1.0,15.0
1959,880000.0,52.68,3.0,1.0,4.0
1960,486592.0,34.99,2.0,3.0,15.0
1962,477281.0,34.34,2.0,9.0,15.0
1964,1114542.91,48.76,3.0,1.0,2.0
1966,453207.3,30.15,1.0,5.0,12.0
1972,652521.0,57.25,3.0,7.0,15.0
1974,655885.3,52.58,3.0,4.0,14.0
1978,459875.0,34.37,2.0,4.0,15.0
1980,517746.73,47.72,3.0,1.0,14.0
1984,518189.44,55.24,3.0,5.0,12.0
1990,560278.0,35.65,2.0,3.0,4.0
1991,479000.0,51.56,2.0,5.0,12.0
1997,2394917.58,98.3,4.0,1.0,2.0
1999,243965.51,51.43,4.0,3.0,16.0
2000,490071.0,36.83,2.0,1.0,12.0
2006,599000.0,53.34,3.0,1.0,12.0
2012,389000.0,26.09,1.0,1.0,12.0
2018,1228887.0,82.32,4.0,2.0,6.0
2020,316971.0,56.65,5.0,4.0,12.0
2021,659948.0,63.26,3.0,7.0,14.0
2025,422096.88,40.04,2.0,5.0,14.0
2029,783594.0,58.59,3.0,5.0,13.0
2034,459285.0,34.34,2.0,3.0,15.0
2036,715000.0,39.26,2.0,1.0,8.0
2038,621745.0,53.29,3.0,5.0,15.0
2052,582410.0,52.8,3.0,2.0,15.0
2054,825000.0,39.43,2.0,8.0,4.0
2055,494729.42,36.49,2.0,4.0,15.0
2057,1020000.0,60.72,3.0,5.0,4.0
2060,559755.0,41.55,2.0,5.0,12.0
2066,635186.0,41.74,2.0,6.0,12.0
2084,419476.48,40.27,2.0,3.0,14.0
2088,493928.0,39.19,2.0,5.0,12.0
2094,501759.0,41.69,2.0,4.0,12.0
2100,1266795.0,78.24,4.0,11.0,12.0
2106,2302000.0,120.57,4.0,3.0,2.0
2108,556981.0,41.71,2.0,4.0,12.0
2114,610000.0,35.65,2.0,3.0,4.0
2118,1035000.0,65.74,4.0,4.0,4.0
2122,635580.0,41.47,2.0,7.0,12.0
2128,535000.0,33.75,2.0,2.0,4.0
2132,1437506.0,138.66,6.0,2.0,4.0
2162,721000.0,40.23,2.0,3.0,4.0
2166,550000.0,35.58,2.0,2.0,4.0
2167,540381.43,51.57,3.0,2.0,14.0
2171,550000.0,35.65,2.0,2.0,4.0
2172,817111.65,64.26,3.0,7.0,14.0
2176,388076.12,32.34,1.0,6.0,14.0
2180,589447.0,41.43,2.0,5.0,12.0
2186,461649.0,41.59,2.0,4.0,12.0
2192,426930.0,37.45,2.0,3.0,12.0
2198,1061394.93,67.83,4.0,10.0,12.0
2216,541957.0,39.48,2.0,3.0,12.0
2222,699500.0,58.43,4.0,2.0,4.0
2223,1134800.0,74.42,4.0,2.0,4.0
2224,579000.0,35.6,2.0,4.0,4.0
2225,961368.0,67.82,4.0,2.0,4.0
2226,1076899.2,94.11,5.0,1.0,10.0
2264,572520.0,39.6,2.0,2.0,12.0
2270,726492.0,58.76,3.0,3.0,12.0
2276,616875.0,41.67,2.0,9.0,12.0
2282,1000893.0,67.87,4.0,6.0,12.0
2288,892150.0,50.98,3.0,1.0,3.0
2293,585225.28,51.49,3.0,1.0,6.0
2294,648224.0,41.71,2.0,6.0,12.0
2300,620000.0,39.45,2.0,2.0,8.0
2302,32890.9,36.57,2.0,4.0,18.0
2303,660600.0,41.64,2.0,7.0,12.0
2309,1003000.0,115.26,3.0,1.0,12.0
2310,1555761.23,89.67,3.0,11.0,12.0
2316,982000.0,115.4,3.0,1.0,12.0
2317,689558.0,41.67,2.0,6.0,12.0
2323,577125.0,41.77,2.0,6.0,12.0
2329,614702.0,39.14,2.0,10.0,12.0
2335,701550.0,41.57,2.0,7.0,12.0
2341,696352.67,54.33,3.0,2.0,14.0
2345,1030323.0,69.03,3.0,4.0,12.0
2351,429052.36,40.1,2.0,5.0,14.0
2355,435320.05,41.46,2.0,2.0,14.0
2359,1232850.34,86.27,3.0,7.0,13.0
2362,823111.59,64.76,3.0,7.0,14.0
2366,526121.0,39.59,2.0,3.0,12.0
2372,646176.01,65.3,3.0,2.0,6.0
2373,627638.36,52.73,3.0,5.0,14.0
2377,661346.32,62.98,3.0,4.0,14.0
2381,467904.66,41.23,2.0,2.0,14.0
2385,616159.66,44.88,2.0,2.0,14.0
2389,874000.0,61.25,3.0,3.0,12.0
2395,965000.0,62.98,3.0,3.0,6.0
2397,715475.98,65.54,3.0,5.0,14.0
2401,1080000.0,80.39,4.0,1.0,4.0
2431,791200.0,62.98,4.0,3.0,12.0
2435,696916.28,63.65,3.0,2.0,14.0
2439,850369.54,80.87,4.0,1.0,6.0
2440,632103.02,35.93,1.0,4.0,6.0
2441,726000.0,36.64,2.0,5.0,8.0
2446,792646.0,46.64,2.0,5.0,8.0
2451,977029.14,73.93,3.0,1.0,3.0
2452,786540.0,52.84,3.0,1.0,7.0
2462,1307413.0,73.45,4.0,4.0,8.0
2467,1675665.0,120.66,5.0,1.0,7.0
2477,1075207.0,59.85,4.0,3.0,8.0
2482,1013158.0,25.88,1.0,4.0,8.0
2492,611856.63,37.78,2.0,1.0,8.0
2495,609782.0,39.21,2.0,9.0,12.0
2501,607297.0,39.17,2.0,8.0,12.0
2507,587531.0,41.44,2.0,8.0,12.0
2513,607240.0,39.16,2.0,7.0,12.0
2519,1005000.0,62.26,3.0,3.0,6.0
2520,727995.0,41.6,2.0,5.0,12.0
2526,608014.25,37.26,2.0,5.0,13.0
2528,514821.94,39.53,2.0,3.0,12.0
2534,851822.4,39.06,2.0,7.0,1.0
2538,474710.0,39.61,2.0,3.0,12.0
2544,569000.0,41.3,2.0,2.0,13.0
2545,517690.0,27.4,1.0,3.0,13.0
2548,823973.0,51.54,3.0,1.0,13.0
2551,1501602.0,80.46,4.0,5.0,14.0
2556,679480.0,54.2,3.0,1.0,11.0
2557,974125.0,89.21,4.0,3.0,11.0
2558,1040000.0,42.58,2.0,2.0,2.0
2560,1573535.5,52.58,3.0,2.0,4.0
2564,1023760.0,55.32,2.0,3.0,4.0
2570,747739.5,67.84,3.0,1.0,17.0
2574,675450.82,68.06,3.0,1.0,17.0
2578,528000.0,39.12,2.0,6.0,12.0
2584,1402900.95,73.38,4.0,7.0,1.0
2588,805591.2,55.64,3.0,5.0,1.0
2604,801003.1,55.7,3.0,4.0,1.0
2608,673144.0,41.72,2.0,9.0,12.0
2614,672536.0,41.68,2.0,5.0,12.0
2620,786680.0,52.2,2.0,7.0,4.0
2624,523500.0,37.48,2.0,2.0,12.0
2630,1049749.0,68.82,3.0,5.0,12.0
2636,627950.0,53.88,3.0,8.0,4.0
2640,850000.0,44.12,2.0,1.0,3.0
2645,775738.0,65.01,3.0,4.0,12.0
2651,540000.0,35.58,2.0,2.0,4.0
2655,553184.0,37.9,2.0,2.0,3.0
2660,544907.85,41.69,2.0,6.0,12.0
2666,936811.19,91.18,4.0,1.0,10.0
2680,992402.0,68.29,4.0,1.0,1.0
2684,725169.47,41.64,2.0,9.0,12.0
2690,895178.25,60.63,3.0,5.0,1.0
2694,925000.0,62.67,3.0,5.0,8.0
2697,1053225.0,57.06,3.0,7.0,13.0
2698,595800.0,36.11,2.0,4.0,13.0
2701,569260.41,41.72,2.0,8.0,12.0
