,cena_brutto_pln,powierzchnia_uzytkowa,liczba_izb,kondygnacja,dzielnica
6700,399400.0,25.85,2.0,2.0,13.0
6702,416009.94,30.61,2.0,5.0,13.0
6704,770450.0,40.75,2.0,5.0,13.0
6707,804845.0,50.01,3.0,1.0,13.0
6710,910297.0,56.89,3.0,8.0,13.0
6711,619020.11,40.81,3.0,5.0,13.0
6713,957624.73,63.57,3.0,2.0,4.0
6719,737972.02,35.89,2.0,7.0,1.0
6723,458000.0,36.27,2.0,1.0,5.0
6724,852768.0,60.16,3.0,5.0,4.0
6728,842573.55,48.62,2.0,2.0,4.0
6734,1730000.0,76.11,4.0,2.0,2.0
6740,637318.88,43.29,2.0,2.0,13.0
6742,1067107.0,68.74,4.0,4.0,1.0
6746,1084746.86,80.37,3.0,9.0,11.0
6749,983373.56,76.24,4.0,4.0,1.0
6753,1027780.0,91.49,4.0,1.0,8.0
6757,978100.54,76.12,4.0,1.0,12.0
6763,922650.0,50.64,3.0,3.0,13.0
6766,951150.0,56.61,3.0,5.0,13.0
6769,739040.0,38.28,2.0,1.0,1.0
6773,607000.0,36.1,2.0,1.0,13.0
6776,633198.0,37.87,2.0,2.0,1.0
6780,729808.47,48.42,3.0,1.0,13.0
6783,1501830.0,39.81,2.0,2.0,13.0
6789,991260.0,53.67,3.0,5.0,13.0
6794,534024.0,33.68,1.0,3.0,8.0
6797,425569.21,30.23,2.0,2.0,13.0
6799,462183.06,30.36,2.0,1.0,13.0
6803,700280.0,39.98,2.0,1.0,13.0
6806,398970.0,25.98,2.0,5.0,13.0
6808,981520.0,56.37,4.0,2.0,13.0
6811,363580.0,25.97,2.0,4.0,13.0
6813,1400000.0,72.4,3.0,2.0,13.0
6815,911460.0,51.13,3.0,2.0,13.0
6818,427165.23,30.31,2.0,3.0,13.0
6820,717172.44,40.88,3.0,3.0,13.0
6822,851020.12,59.61,3.0,1.0,1.0
6826,500964.0,27.49,1.0,5.0,13.0
6829,712915.0,38.98,2.0,4.0,1.0
6833,980622.0,99.83,2.0,1.0,9.0
6834,489250.0,26.82,1.0,3.0,13.0
6837,424862.61,51.76,1.0,1.0,17.0
6839,794440.0,39.77,2.0,4.0,13.0
6842,904830.4,60.62,3.0,4.0,1.0
6847,996308.0,62.0,3.0,1.0,1.0
6851,855950.0,52.73,3.0,1.0,13.0
6854,682500.0,44.85,2.0,1.0,8.0
6857,647070.0,38.31,2.0,2.0,13.0
6860,671700.0,38.24,2.0,4.0,13.0
6863,1254046.04,76.24,4.0,7.0,1.0
6867,601800.0,35.79,2.0,1.0,13.0
6870,1615998.0,87.54,4.0,3.0,14.0
6875,654750.0,36.06,2.0,3.0,13.0
6878,752053.22,49.82,3.0,1.0,1.0
6882,627000.0,36.62,2.0,5.0,13.0
6885,635950.0,35.53,2.0,4.0,3.0
6890,780843.0,42.92,3.0,6.0,13.0
6893,647712.0,36.6,2.0,4.0,13.0
6896,1138607.86,76.31,4.0,3.0,1.0
6900,781112.73,49.14,2.0,2.0,3.0
6905,729800.0,42.49,2.0,2.0,13.0
6908,610660.0,35.73,2.0,4.0,13.0
6911,613818.0,37.89,2.0,5.0,3.0
6916,479323.0,26.64,1.0,5.0,13.0
6919,850000.0,39.43,1.0,3.0,12.0
6921,613600.0,36.26,2.0,3.0,13.0
6924,675150.0,40.01,2.0,4.0,3.0
6929,759700.0,41.75,2.0,5.0,13.0
6932,1149666.0,68.6,4.0,7.0,1.0
6936,656150.0,38.28,2.0,3.0,13.0
6939,578681.48,36.91,2.0,2.0,3.0
6944,683414.24,58.45,3.0,2.0,17.0
6946,788453.04,51.14,3.0,3.0,3.0
6951,514400.0,29.45,2.0,6.0,13.0
6954,798524.4,52.73,3.0,5.0,13.0
6957,551532.68,38.09,2.0,2.0,3.0
6962,782837.56,41.31,2.0,5.0,1.0
6966,652180.0,35.72,2.0,2.0,13.0
6969,915750.0,52.6,3.0,3.0,1.0
6973,920446.48,49.96,3.0,7.0,1.0
6977,198460.0,36.59,3.0,2.0,12.0
6978,420387.2,27.2,1.0,3.0,3.0
6983,1004080.0,56.24,4.0,1.0,13.0
6986,1187096.0,78.34,4.0,4.0,1.0
6990,741110.0,39.07,2.0,4.0,13.0
6993,773946.0,64.74,4.0,1.0,12.0
6994,991400.0,57.78,4.0,4.0,13.0
6997,1213824.0,93.82,5.0,1.0,12.0
7003,1124326.4,93.83,5.0,1.0,12.0
7009,883710.0,49.87,3.0,5.0,13.0
7012,935065.0,50.61,3.0,5.0,3.0
7017,657000.0,36.54,2.0,5.0,13.0
7020,1370000.0,51.57,2.0,1.0,3.0
7025,1089545.26,67.41,4.0,4.0,13.0
7028,671058.0,40.28,2.0,3.0,13.0
7031,488743.0,25.36,1.0,1.0,13.0
7034,959269.92,62.76,4.0,5.0,3.0
7039,627549.0,35.75,2.0,4.0,13.0
7042,661679.14,40.35,2.0,4.0,13.0
7045,927750.0,37.11,1.0,4.0,7.0
7046,597439.0,29.81,2.0,6.0,13.0
7049,484466.49,28.8,1.0,3.0,13.0
7052,532881.0,27.52,3.0,4.0,13.0
7055,655600.0,37.82,2.0,5.0,13.0
7058,829938.0,46.58,2.0,4.0,3.0
7063,662654.67,42.16,2.0,4.0,13.0
7066,556650.0,32.53,2.0,2.0,13.0
7069,771327.47,52.48,3.0,1.0,13.0
7072,690691.0,35.78,2.0,4.0,3.0
7077,790300.0,46.73,2.0,5.0,13.0
7080,539179.72,30.4,1.0,4.0,3.0
7085,644613.0,36.67,2.0,3.0,13.0
7088,551784.96,35.48,2.0,3.0,1.0
7092,1214424.1,78.07,4.0,5.0,1.0
7096,1219752.0,78.41,4.0,3.0,1.0
7100,822705.6,55.77,3.0,2.0,13.0
7103,660985.88,39.99,2.0,5.0,13.0
7106,1038532.5,61.35,3.0,3.0,1.0
7110,142864.51,25.82,2.0,3.0,9.0
7112,949568.0,60.48,3.0,2.0,1.0
7116,679412.63,40.81,2.0,3.0,1.0
7120,1942130.0,123.27,4.0,3.0,7.0
7122,498281.3,50.16,3.0,3.0,15.0
7126,499445.95,48.72,2.0,3.0,15.0
7130,1150000.0,83.64,3.0,1.0,4.0
7131,569000.0,39.44,2.0,1.0,13.0
7136,419344.91,36.89,2.0,3.0,15.0
7140,555000.0,39.53,2.0,5.0,13.0
7145,436415.84,40.69,2.0,3.0,15.0
7149,454699.57,63.05,4.0,2.0,4.0
7175,1020070.0,62.44,4.0,3.0,13.0
7178,990850.0,52.79,3.0,5.0,13.0
7181,895161.78,67.23,4.0,4.0,4.0
7183,683280.0,37.0,2.0,3.0,13.0
7187,1275088.59,57.81,2.0,7.0,5.0
7190,532440.0,36.72,2.0,2.0,14.0
7191,798000.0,69.43,3.0,5.0,13.0
7196,918000.0,60.72,3.0,2.0,13.0
7201,850000.0,45.87,2.0,1.0,4.0
7202,608000.0,49.85,3.0,5.0,13.0
7207,726037.0,39.15,2.0,1.0,13.0
7210,855900.0,49.85,3.0,1.0,13.0
7213,731700.0,38.52,2.0,1.0,13.0
7216,25908.94,46.5,4.0,10.0,2.0
7217,26137.32,46.9,4.0,5.0,2.0
7218,631995.0,39.15,2.0,2.0,8.0
7221,1143376.0,47.84,2.0,5.0,1.0
7224,632413.19,58.45,3.0,2.0,17.0
7226,1495080.0,104.08,4.0,4.0,14.0
7227,1289000.0,102.37,5.0,1.0,13.0
7232,531379.07,45.89,2.0,3.0,14.0
7234,820344.61,62.06,4.0,5.0,13.0
7236,634255.81,42.45,3.0,1.0,13.0
7238,830000.0,42.24,1.0,5.0,5.0
7241,237702.01,35.22,3.0,1.0,5.0
7242,965140.0,64.03,4.0,3.0,14.0
7243,1880660.0,41.84,2.0,2.0,4.0
7249,926184.0,64.32,4.0,2.0,14.0
7250,983000.0,67.0,3.0,2.0,14.0
7251,614377.0,36.55,2.0,3.0,14.0
7252,521620.8,36.64,2.0,6.0,4.0
7254,475520.0,36.71,2.0,6.0,4.0
7256,884130.0,53.68,3.0,1.0,13.0
7259,600095.0,36.56,2.0,3.0,13.0
7262,751300.0,40.69,2.0,4.0,13.0
7265,895750.0,50.65,3.0,4.0,13.0
7268,1550000.0,103.86,4.0,5.0,4.0
7272,660100.0,40.81,2.0,3.0,13.0
7275,964570.51,106.53,4.0,3.0,1.0
7278,378445.6,31.85,2.0,3.0,14.0
7282,544619.6,47.63,3.0,1.0,14.0
7286,609082.16,44.68,2.0,6.0,14.0
7290,620699.6,52.61,3.0,4.0,14.0
7294,1919401.02,125.92,4.0,1.0,7.0
7313,507617.6,36.8,2.0,2.0,4.0
7318,24724.35,46.5,4.0,1.0,2.0
7319,1001329.14,67.64,3.0,5.0,5.0
7320,1350000.0,60.0,2.0,4.0,1.0
7321,86677.21,55.13,3.0,3.0,1.0
7322,712000.0,79.75,3.0,1.0,10.0
7332,469709.38,37.66,2.0,5.0,4.0
7336,1350000.0,63.92,3.0,7.0,5.0
7337,580000.16,40.27,1.0,3.0,8.0
7339,1505100.0,68.97,4.0,5.0,5.0
7343,766904.25,56.34,3.0,2.0,13.0
7345,1334000.0,68.54,3.0,3.0,5.0
7347,52058.6,42.88,3.0,1.0,3.0
7348,672100.0,40.74,2.0,2.0,13.0
7351,940140.0,49.92,3.0,4.0,13.0
7354,743600.0,36.6,2.0,2.0,13.0
7357,1078353.0,62.89,4.0,4.0,13.0
7360,895600.0,50.19,3.0,3.0,13.0
7363,728450.63,54.77,3.0,2.0,14.0
7367,622884.51,51.52,3.0,6.0,14.0
7371,565394.82,44.76,2.0,7.0,14.0
7375,536042.49,44.54,2.0,4.0,14.0
7379,1041622.96,56.81,3.0,3.0,3.0
7386,1030335.77,56.87,3.0,2.0,3.0
7391,689612.4,41.44,2.0,7.0,13.0
7394,868971.45,55.84,3.0,5.0,13.0
7397,1017522.47,54.67,3.0,3.0,3.0
7402,936000.0,62.0,3.0,7.0,6.0
7404,936893.42,50.56,3.0,2.0,3.0
7409,820320.0,43.45,2.0,4.0,6.0
7412,960000.0,59.68,3.0,8.0,6.0
7415,574586.0,30.53,1.0,2.0,3.0
7420,1078000.0,73.78,4.0,3.0,6.0
7422,386106.0,44.31,2.0,3.0,17.0
7423,1806526.8,82.47,3.0,1.0,7.0
7424,878800.0,48.01,3.0,5.0,3.0
7429,636046.1,44.69,2.0,7.0,14.0
7433,697786.79,54.68,3.0,7.0,14.0
7437,541474.03,41.12,2.0,7.0,14.0
7441,896250.0,54.75,3.0,5.0,3.0
7446,526451.1,27.14,1.0,1.0,3.0
7453,1181193.0,47.41,2.0,3.0,4.0
7465,532075.39,46.55,3.0,1.0,14.0
7469,651642.79,54.45,3.0,3.0,14.0
7473,649615.9,63.51,3.0,7.0,14.0
7477,401236.43,32.23,1.0,1.0,14.0
7481,528000.0,37.2,2.0,1.0,12.0
7483,676181.82,62.92,3.0,5.0,14.0
7487,710640.0,49.35,2.0,5.0,4.0
7491,710979.38,63.56,3.0,6.0,14.0
7495,664077.0,39.75,2.0,1.0,4.0
7496,954122.06,87.76,3.0,7.0,14.0
7500,676702.73,52.6,3.0,5.0,14.0
7504,446750.21,38.02,1.0,4.0,14.0
7508,538000.0,38.99,2.0,2.0,12.0
7510,555464.23,47.63,3.0,1.0,14.0
7518,679393.12,52.7,3.0,2.0,14.0
7522,674261.32,54.52,3.0,5.0,14.0
7526,596343.17,44.73,2.0,2.0,14.0
7530,800000.0,51.17,2.0,2.0,13.0
7536,290000.0,26.04,1.0,3.0,13.0
7537,695940.0,38.23,2.0,4.0,13.0
7540,614250.0,51.71,3.0,3.0,13.0
7548,500189.04,44.52,2.0,4.0,14.0
7552,562084.8,52.71,3.0,5.0,14.0
7556,445716.0,41.27,2.0,6.0,14.0
7560,774000.0,64.53,4.0,2.0,12.0
7561,494028.55,44.68,2.0,4.0,14.0
7565,422927.05,40.09,2.0,3.0,14.0
7569,628872.9,52.56,3.0,4.0,14.0
7573,1793227.63,97.17,4.0,9.0,2.0
7575,969254.02,76.24,4.0,1.0,12.0
7581,1560000.0,91.3,5.0,1.0,12.0
7585,1161034.5,93.98,5.0,1.0,12.0
7591,1125045.3,93.89,5.0,1.0,12.0
7597,812628.98,64.66,3.0,1.0,14.0
7601,513268.23,37.96,1.0,5.0,14.0
7605,709958.91,64.16,3.0,5.0,14.0
7609,724500.0,67.51,4.0,1.0,18.0
7610,797205.11,65.03,3.0,2.0,14.0
7614,1374490.0,68.7,3.0,4.0,8.0
7617,637451.64,65.34,3.0,4.0,14.0
7621,778320.0,70.67,5.0,3.0,18.0
7622,918400.0,50.15,3.0,4.0,13.0
7625,593085.0,32.42,2.0,3.0,13.0
7628,533800.0,27.39,1.0,2.0,13.0
7631,797249.33,65.02,3.0,4.0,14.0
7635,726967.0,36.52,2.0,2.0,13.0
7638,1137418.8,69.99,3.0,2.0,4.0
7644,804361.0,59.38,3.0,2.0,4.0
7648,804197.0,59.46,3.0,2.0,4.0
7652,1036277.0,56.21,4.0,3.0,13.0
7655,951893.0,49.98,3.0,5.0,13.0
7658,477134.73,37.87,1.0,2.0,14.0
7662,743627.38,54.51,3.0,7.0,14.0
7666,628970.08,52.41,3.0,6.0,14.0
7670,564328.34,44.67,2.0,7.0,14.0
7674,765250.0,42.38,2.0,1.0,13.0
7677,380753.73,31.91,2.0,4.0,14.0
7681,914000.0,52.06,3.0,5.0,13.0
7714,1594420.0,87.32,4.0,2.0,14.0
7719,485000.0,37.21,2.0,1.0,12.0
7721,432610.0,25.44,1.0,3.0,13.0
7724,1683088.0,71.95,3.0,3.0,4.0
7730,595000.0,43.47,2.0,2.0,12.0
7732,831810.17,87.29,4.0,5.0,14.0
7736,498046.21,44.47,2.0,3.0,14.0
7740,573035.19,49.59,3.0,1.0,14.0
7744,1467477.0,80.19,4.0,3.0,14.0
7749,554282.57,44.7,2.0,6.0,14.0
7753,1029900.0,62.95,4.0,3.0,13.0
7756,532334.28,44.71,2.0,6.0,14.0
7760,737169.0,36.25,2.0,5.0,13.0
7763,1937728.0,91.88,4.0,5.0,14.0
7768,732597.66,37.66,2.0,4.0,13.0
7771,556830.0,32.18,2.0,2.0,13.0
7774,972600.0,51.81,3.0,5.0,13.0
7777,618590.84,51.65,3.0,7.0,14.0
7781,1520177.0,84.36,4.0,3.0,3.0
7786,1302439.0,65.02,4.0,2.0,3.0
7791,637727.96,40.11,2.0,1.0,3.0
7796,528485.56,44.72,2.0,5.0,14.0
7800,623996.48,51.62,3.0,6.0,14.0
7804,487812.22,51.07,3.0,1.0,9.0
7805,6333001.93,52.77,3.0,6.0,14.0
7809,632139.16,63.28,3.0,5.0,14.0
7813,425024.71,40.1,2.0,4.0,14.0
7817,1079848.0,62.91,3.0,3.0,4.0
7823,416562.43,37.87,2.0,1.0,14.0
7827,1023118.0,71.38,3.0,5.0,4.0
7831,551840.58,44.43,2.0,4.0,14.0
7835,1299369.0,58.89,3.0,3.0,4.0
7841,2679920.0,144.13,4.0,3.0,13.0
7851,552132.73,41.78,2.0,1.0,11.0
7864,524000.0,38.1,3.0,4.0,8.0
7865,556885.0,60.81,4.0,5.0,4.0
7867,447775.0,49.15,3.0,4.0,4.0
7869,1293750.0,86.25,4.0,1.0,8.0
7870,489639.0,42.1,2.0,4.0,13.0
7886,825000.0,43.86,2.0,3.0,4.0
7887,1534570.0,78.03,3.0,1.0,5.0
7897,459970.0,38.46,2.0,1.0,13.0
7913,1042000.0,56.92,3.0,3.0,4.0
7914,467390.0,25.41,1.0,2.0,13.0
7917,943960.0,53.54,3.0,3.0,13.0
7920,760000.0,42.23,2.0,4.0,4.0
7921,593700.0,35.82,2.0,3.0,13.0
7924,962240.0,51.45,3.0,3.0,13.0
7927,575250.0,32.41,2.0,4.0,13.0
7930,1246077.0,65.93,3.0,3.0,7.0
7932,1348515.0,71.35,3.0,4.0,7.0
7934,1150000.0,52.16,2.0,2.0,7.0
7936,1400000.0,66.2,3.0,5.0,7.0
7938,1024900.0,57.89,4.0,5.0,13.0
7941,1298475.0,57.71,2.0,4.0,1.0
7942,521229.77,48.65,3.0,6.0,15.0
7946,483123.0,26.67,1.0,4.0,13.0
7949,442564.92,40.65,2.0,4.0,15.0
7953,438360.97,40.97,2.0,6.0,14.0
7957,438813.8,40.57,2.0,2.0,15.0
7961,429826.56,40.27,2.0,4.0,14.0
7965,971460.0,62.68,4.0,2.0,13.0
7968,530230.24,45.93,2.0,2.0,15.0
7972,1950000.0,89.54,5.0,1.0,13.0
7974,453072.0,26.5,1.0,3.0,13.0
7977,602724.95,65.25,4.0,2.0,15.0
7981,1221450.72,83.15,4.0,7.0,13.0
7984,840844.0,67.81,3.0,10.0,11.0
7985,458592.06,47.77,3.0,5.0,15.0
7989,834008.58,54.02,3.0,4.0,13.0
7992,491703.98,41.67,2.0,5.0,15.0
7996,152960.04,30.05,2.0,1.0,1.0
7998,407846.14,33.43,2.0,7.0,15.0
8002,446211.38,41.32,2.0,7.0,14.0
8006,549000.0,36.21,1.0,1.0,4.0
8009,501446.99,47.35,3.0,9.0,15.0
8013,435823.33,33.41,1.0,9.0,15.0
8017,433334.13,33.47,2.0,10.0,15.0
8021,683435.0,35.79,2.0,5.0,13.0
8024,652374.73,54.64,3.0,4.0,14.0
8028,655810.88,54.46,3.0,4.0,14.0
8032,1131300.0,112.83,5.0,1.0,12.0
8035,790278.0,52.94,3.0,1.0,4.0
8038,650000.0,36.63,2.0,5.0,12.0
8042,1142334.0,91.48,5.0,2.0,4.0
8048,1182205.0,46.82,1.0,3.0,1.0
8050,1492980.0,50.1,2.0,4.0,1.0
8052,641760.0,44.12,2.0,5.0,13.0
8057,453250.78,41.01,2.0,6.0,15.0
8061,975000.0,95.32,4.0,1.0,17.0
8062,477070.0,33.71,2.0,9.0,15.0
8063,620352.0,36.17,2.0,2.0,13.0
8066,639958.0,37.68,2.0,3.0,13.0
8069,1347699.2,47.3,1.0,5.0,1.0
8071,739313.0,39.9,2.0,2.0,13.0
8074,893100.0,52.84,3.0,3.0,13.0
8077,875000.0,41.34,2.0,1.0,1.0
8078,806417.0,52.45,3.0,6.0,13.0
8081,917452.16,58.25,3.0,5.0,13.0
8084,956596.72,61.64,3.0,1.0,4.0
8090,793627.0,38.23,2.0,5.0,13.0
8093,640640.0,43.73,2.0,2.0,8.0
8096,925000.0,42.28,2.0,1.0,1.0
8097,936416.0,51.82,3.0,4.0,13.0
8100,1672916.0,100.61,4.0,4.0,3.0
8105,551505.24,35.71,2.0,4.0,3.0
8110,699857.2,49.01,3.0,1.0,4.0
8116,699060.0,36.67,1.0,2.0,2.0
8118,1012499.0,48.55,2.0,3.0,4.0
8124,700000.0,55.64,3.0,6.0,13.0
8129,585000.0,39.17,2.0,2.0,13.0
8134,760950.0,45.73,2.0,1.0,3.0
8139,865700.0,59.8,3.0,4.0,13.0
8144,532931.0,40.25,2.0,2.0,13.0
8149,468000.0,39.99,2.0,2.0,13.0
8154,461526.0,38.3,2.0,3.0,13.0
8159,656885.64,40.51,2.0,4.0,3.0
8164,524732.0,40.77,2.0,3.0,13.0
8169,604760.0,39.14,2.0,6.0,13.0
8174,697748.04,63.2,3.0,3.0,14.0
8178,900000.0,66.36,3.0,3.0,13.0
8183,1052512.38,71.34,4.0,2.0,4.0
8189,731074.08,44.02,2.0,2.0,3.0
8194,948932.0,63.28,3.0,2.0,4.0
8200,899872.0,59.92,3.0,1.0,4.0
8206,695600.0,50.2,2.0,6.0,4.0
8211,650000.0,31.51,1.0,4.0,6.0
8212,1033000.0,62.65,3.0,8.0,6.0
8214,1656892.92,38.65,2.0,2.0,3.0
8229,733377.0,46.06,2.0,2.0,13.0
8230,608293.2,36.85,2.0,1.0,3.0
8235,864306.69,53.79,3.0,5.0,13.0
8238,620000.0,56.75,3.0,1.0,4.0
8244,927741.6,50.64,3.0,2.0,3.0
8249,561387.28,44.73,2.0,3.0,14.0
8253,639093.0,43.75,2.0,1.0,8.0
8256,701200.97,64.68,3.0,6.0,14.0
8260,983705.0,54.95,3.0,5.0,3.0
8267,701718.58,37.9,2.0,5.0,3.0
8274,776592.0,42.78,1.0,5.0,3.0
8279,954736.0,69.52,3.0,4.0,13.0
8284,591000.0,40.76,2.0,6.0,13.0
8289,790000.0,68.41,3.0,1.0,4.0
8295,600000.0,44.26,2.0,2.0,13.0
8300,522678.0,39.06,2.0,5.0,13.0
8305,776744.0,66.22,3.0,6.0,13.0
8310,660000.0,56.58,3.0,1.0,4.0
8316,826000.0,59.52,3.0,1.0,13.0
8321,759800.0,42.8,1.0,4.0,3.0
8326,1075000.0,68.16,3.0,1.0,4.0
8332,859244.42,63.19,4.0,5.0,13.0
8334,949053.0,64.33,3.0,6.0,4.0
8338,680350.0,60.42,3.0,4.0,5.0
8340,450000.0,53.22,3.0,1.0,10.0
8350,804120.0,43.57,2.0,3.0,3.0
8355,653200.0,38.18,2.0,2.0,13.0
8358,567271.0,38.26,2.0,5.0,13.0
8365,821000.0,59.78,3.0,3.0,13.0
8370,677661.88,35.63,2.0,5.0,3.0
8375,797116.25,64.2,3.0,4.0,14.0
8379,963950.0,57.79,4.0,3.0,13.0
8382,614539.44,52.55,3.0,5.0,14.0
8386,546950.0,32.17,2.0,3.0,13.0
8389,474338.79,41.07,2.0,1.0,14.0
8393,618900.0,32.52,2.0,5.0,13.0
8396,605631.0,38.09,2.0,5.0,3.0
8401,686316.63,51.56,3.0,7.0,14.0
8405,485178.0,49.49,3.0,8.0,4.0
8407,861195.0,51.49,3.0,4.0,13.0
8410,796011.19,64.9,3.0,1.0,14.0
8414,437925.0,49.75,3.0,2.0,4.0
8416,602857.84,44.52,2.0,5.0,14.0
8420,632000.0,37.22,2.0,4.0,13.0
8423,584000.0,40.61,2.0,6.0,13.0
8428,701827.98,62.86,3.0,6.0,14.0
8432,546750.0,36.45,2.0,3.0,3.0
8437,991269.0,71.32,3.0,2.0,4.0
8441,787833.53,40.89,2.0,5.0,3.0
8446,1095590.0,62.36,4.0,2.0,13.0
8449,1044743.9,86.94,4.0,2.0,14.0
8453,898186.0,64.34,3.0,5.0,4.0
8457,830076.0,49.84,3.0,5.0,3.0
8462,888406.0,46.41,3.0,4.0,3.0
8467,696826.7,63.13,3.0,2.0,14.0
8471,795273.5,52.46,3.0,5.0,13.0
8474,711612.22,65.04,3.0,3.0,14.0
8478,570353.1,37.18,1.0,4.0,4.0
8480,969123.62,68.19,4.0,2.0,13.0
8483,619809.21,52.59,3.0,3.0,14.0
8487,965910.0,62.37,4.0,1.0,13.0
8490,608057.32,43.01,3.0,1.0,4.0
8492,568880.0,40.07,2.0,1.0,13.0
8497,558486.0,40.03,3.0,7.0,5.0
8498,558549.26,44.56,2.0,6.0,14.0
8502,597915.0,44.16,2.0,6.0,13.0
8507,881759.6,48.68,3.0,5.0,3.0
8512,547777.43,44.59,2.0,3.0,14.0
8516,862071.03,76.84,5.0,2.0,4.0
8518,572000.0,40.6,2.0,6.0,13.0
8523,700803.71,54.84,3.0,3.0,14.0
8527,439697.0,39.97,2.0,9.0,4.0
8529,628410.26,44.57,2.0,4.0,14.0
8533,519000.0,38.21,2.0,2.0,13.0
8538,590635.0,35.76,2.0,2.0,13.0
8541,1030803.17,77.05,5.0,6.0,4.0
8543,554480.0,66.06,4.0,1.0,4.0
8545,528714.0,40.21,2.0,4.0,13.0
8550,616378.37,42.94,2.0,4.0,4.0
8552,594586.22,44.59,2.0,2.0,14.0
8556,854174.6,46.54,2.0,3.0,3.0
8561,632200.36,43.04,2.0,6.0,4.0
8563,796177.4,64.1,3.0,3.0,14.0
8567,680324.31,52.56,3.0,3.0,14.0
8571,659000.0,39.64,2.0,3.0,13.0
8576,605792.0,49.89,3.0,2.0,13.0
8581,234990.01,36.55,2.0,5.0,3.0
8582,663161.0,55.78,3.0,5.0,13.0
8587,547482.24,42.96,2.0,1.0,4.0
8589,652610.0,55.77,3.0,4.0,13.0
8594,647000.0,55.78,3.0,3.0,13.0
8599,631576.27,43.03,3.0,3.0,4.0
8601,600000.0,39.97,2.0,4.0,13.0
8606,836065.81,56.84,3.0,3.0,4.0
8608,558016.0,40.09,2.0,3.0,13.0
8613,554000.0,40.83,2.0,3.0,13.0
8618,972801.74,76.76,5.0,3.0,4.0
8620,531000.0,40.72,2.0,5.0,13.0
8625,485920.0,38.73,2.0,2.0,13.0
8630,603167.33,42.99,2.0,2.0,4.0
8632,583000.0,40.7,2.0,4.0,13.0
8637,583042.0,44.17,2.0,5.0,13.0
8642,559386.0,40.08,2.0,3.0,13.0
8647,552636.0,43.0,2.0,2.0,4.0
8649,1112000.0,93.18,4.0,2.0,13.0
8654,853830.0,48.68,3.0,3.0,13.0
8657,868907.0,69.64,3.0,3.0,13.0
8662,1160000.0,93.31,4.0,6.0,13.0
8667,562074.0,40.72,2.0,2.0,13.0
8672,571680.0,39.6,2.0,2.0,4.0
8673,663164.0,39.69,2.0,4.0,4.0
8674,621580.0,39.56,2.0,3.0,4.0
8675,926787.33,77.71,4.0,3.0,4.0
8677,359030.0,26.1,1.0,1.0,4.0
8678,831420.0,55.1,3.0,4.0,4.0
8679,462147.0,31.59,2.0,3.0,4.0
8680,429736.0,31.58,2.0,3.0,4.0
8681,707772.0,50.21,3.0,3.0,4.0
8682,409000.75,32.02,1.0,1.0,14.0
8686,666073.25,52.59,3.0,2.0,14.0
8690,566496.12,51.44,3.0,2.0,14.0
8694,684955.94,52.66,3.0,7.0,14.0
8698,870000.0,55.75,3.0,2.0,13.0
8703,575756.0,40.04,2.0,3.0,13.0
8708,603855.0,40.73,2.0,4.0,13.0
8713,570000.0,40.71,2.0,2.0,13.0
8718,607000.0,40.6,2.0,5.0,13.0
8723,585500.0,40.81,2.0,4.0,13.0
8728,600000.0,39.49,2.0,6.0,13.0
8733,949712.0,59.75,3.0,5.0,13.0
8738,726040.21,52.06,3.0,1.0,4.0
8740,796296.0,61.6,3.0,5.0,13.0
8745,1237353.6,64.94,4.0,3.0,3.0
8750,695947.99,64.0,3.0,6.0,14.0
8754,552956.78,44.35,2.0,5.0,14.0
8758,824657.96,56.9,3.0,2.0,4.0
8760,1389999.6,84.57,4.0,2.0,3.0
8765,514126.55,32.05,2.0,1.0,14.0
8769,408873.26,32.07,1.0,1.0,14.0
8773,571029.08,41.74,2.0,2.0,4.0
8775,403249.2,32.06,2.0,7.0,14.0
8779,865000.0,51.0,3.0,1.0,3.0
8784,627000.0,44.06,2.0,4.0,13.0
8789,901800.0,55.12,3.0,4.0,3.0
8794,910805.81,67.15,4.0,5.0,4.0
8796,623000.0,49.92,3.0,3.0,13.0
8801,854868.0,48.14,3.0,3.0,3.0
8806,562074.0,40.6,2.0,2.0,13.0
8811,607313.42,42.9,2.0,4.0,4.0
8813,567676.0,40.79,2.0,2.0,13.0
8818,631281.0,39.24,2.0,3.0,13.0
8823,560000.0,40.73,2.0,3.0,13.0
8828,1012477.4,54.51,3.0,3.0,3.0
8833,540043.2,41.67,2.0,3.0,4.0
8835,609424.0,40.81,2.0,5.0,13.0
8840,575052.48,42.94,2.0,5.0,4.0
8842,400360.0,40.04,2.0,4.0,4.0
8844,526912.0,34.36,2.0,1.0,8.0
8847,640870.75,43.03,3.0,4.0,4.0
8849,1063000.0,69.54,3.0,1.0,13.0
8854,426403.47,37.19,2.0,8.0,4.0
8856,581000.0,38.23,2.0,6.0,13.0
8861,603018.27,42.92,3.0,5.0,4.0
8863,547353.0,40.02,2.0,5.0,13.0
8868,570006.0,53.47,3.0,9.0,4.0
8870,514309.0,38.24,2.0,4.0,13.0
8875,918488.0,60.76,3.0,3.0,13.0
8880,680000.0,49.96,3.0,1.0,13.0
8885,544500.0,40.0,2.0,6.0,13.0
8890,900000.0,60.73,3.0,4.0,13.0
8895,544500.0,40.06,2.0,6.0,13.0
8900,1375000.0,93.35,4.0,4.0,13.0
8905,847481.0,81.62,4.0,6.0,13.0
